,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
70,haaa_9,0.497,0.711,0.033,0.022,0.588,0.178,1.0,0.0,1.567
71,hhaa_3,0.903,0.449,0.032,0.043,0.733,0.257,1.0,2.389,1.567
72,raaa_2,0.718,0.696,0.045,0.027,0.656,0.189,1.0,0.683,1.567
73,raaa_5,0.485,0.664,0.028,0.021,0.562,0.164,1.0,0.171,1.567
74,rhaa_1,0.819,0.277,0.022,0.026,0.462,0.145,1.0,5.461,1.567
75,rhaa_17,0.817,0.533,0.034,0.043,0.707,0.249,1.0,2.73,1.567
76,rhaa_2,0.809,0.388,0.026,0.027,0.633,0.185,1.0,0.341,1.567
77,rhaa_3,0.608,0.602,0.03,0.037,0.631,0.231,1.0,4.437,1.567
78,rhaa_4,0.577,0.712,0.039,0.042,0.648,0.241,1.0,6.143,1.567
79,rhaa_7,0.846,0.506,0.033,0.114,0.766,0.354,1.0,20.99,1.567
80,rhaa_8,0.683,0.545,0.029,0.036,0.663,0.218,1.0,0.512,1.567
