,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
0,haaa_1,0.809,0.421,0.027,0.019,0.542,0.132,1.0,0.171,1.567
1,haaa_3,0.765,0.532,0.032,0.034,0.664,0.219,1.0,0.0,1.567
2,haaa_4,0.8,0.644,0.043,0.07,0.766,0.317,1.0,5.461,1.567
3,haaa_6,0.403,0.658,0.023,0.018,0.504,0.138,1.0,0.0,1.567
4,haaa_7,0.814,0.616,0.041,0.15,0.809,0.41,1.0,17.747,1.567
5,haaa_8,0.674,0.688,0.041,0.043,0.702,0.261,1.0,1.365,1.567
6,haaa_9,0.497,0.711,0.033,0.022,0.588,0.178,1.0,0.0,1.567
7,hhaa_3,0.903,0.449,0.032,0.043,0.733,0.257,1.0,2.389,1.567
8,raaa_2,0.718,0.696,0.045,0.027,0.656,0.189,1.0,0.683,1.567
9,raaa_5,0.485,0.664,0.028,0.021,0.562,0.164,1.0,0.171,1.567
10,rhaa_1,0.819,0.277,0.022,0.026,0.462,0.145,1.0,5.461,1.567
11,rhaa_17,0.817,0.533,0.034,0.043,0.707,0.249,1.0,2.73,1.567
12,rhaa_2,0.809,0.388,0.026,0.027,0.633,0.185,1.0,0.341,1.567
13,rhaa_3,0.608,0.602,0.03,0.037,0.631,0.231,1.0,4.437,1.567
14,rhaa_4,0.577,0.712,0.039,0.042,0.648,0.241,1.0,6.143,1.567
15,rhaa_7,0.846,0.506,0.033,0.114,0.766,0.354,1.0,20.99,1.567
16,rhaa_8,0.683,0.545,0.029,0.036,0.663,0.218,1.0,0.512,1.567
