,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
0,aaaa_3,0.128,0.945,0.045,0.025,0.538,0.26,1.0,3.754,1.567
1,hhaa_10,0.729,0.422,0.025,0.041,0.662,0.241,1.0,0.853,1.567
2,hhaa_13,0.433,0.9,0.08,0.06,0.672,0.322,1.0,6.314,1.567
3,hhaa_14,0.082,0.909,0.018,0.019,0.495,0.195,1.0,0.0,1.567
4,hhaa_18,0.138,0.964,0.071,0.03,0.552,0.298,1.0,4.778,1.567
5,hhaa_19,0.082,0.909,0.018,0.019,0.495,0.195,1.0,0.0,1.567
6,hhha_1,0.44,0.768,0.037,0.035,0.613,0.232,1.0,3.584,1.567
7,hhha_2,0.305,0.872,0.046,0.029,0.591,0.241,1.0,2.048,1.567
8,raaa_3,0.027,0.986,0.037,0.02,0.507,0.32,1.0,1.536,1.567
9,raaa_7,0.027,0.986,0.037,0.02,0.507,0.32,1.0,1.536,1.567
10,rhaa_10,0.043,0.972,0.03,0.021,0.508,0.278,1.0,2.048,1.567
11,rhaa_12,0.058,0.94,0.019,0.022,0.5,0.233,1.0,3.584,1.567
12,rhaa_15,0.317,0.708,0.021,0.052,0.528,0.218,1.0,9.727,1.567
13,rhha_11,0.133,0.961,0.064,0.03,0.548,0.293,1.0,4.949,1.567
14,rhha_4,0.392,0.828,0.044,0.034,0.614,0.24,1.0,2.56,1.567
