,Model,Sensitivity,Specificity,Precision,AP,AUCROC,logAUCROC,BedROC,EF1%,RIE
0,haaa_2,0.063,0.955,0.027,0.021,0.509,0.249,1.0,2.218,1.567
1,hhaa_1,0.275,0.806,0.028,0.027,0.545,0.206,1.0,4.778,1.567
2,hhaa_11,0.392,0.74,0.029,0.022,0.561,0.179,1.0,0.0,1.567
3,hhaa_15,0.775,0.397,0.025,0.027,0.615,0.188,1.0,0.171,1.567
4,hhaa_5,0.77,0.382,0.024,0.022,0.57,0.159,1.0,0.171,1.567
5,hhaa_6,0.498,0.593,0.024,0.022,0.549,0.169,1.0,0.0,1.567
6,hhaa_8,0.399,0.612,0.02,0.022,0.512,0.163,1.0,0.341,1.567
7,raaa_1,0.374,0.719,0.026,0.036,0.556,0.211,1.0,7.509,1.567
8,raaa_6,0.195,0.912,0.042,0.023,0.553,0.232,1.0,0.853,1.567
9,rhaa_18,0.297,0.877,0.046,0.037,0.595,0.262,1.0,3.413,1.567
10,rhaa_6,0.766,0.455,0.027,0.021,0.548,0.151,1.0,0.171,1.567
11,rraa_1,0.515,0.81,0.051,0.033,0.651,0.22,1.0,0.341,1.567
12,rrha_1,0.761,0.749,0.057,0.051,0.766,0.284,1.0,0.341,1.567
13,rrha_2,0.357,0.874,0.054,0.035,0.617,0.257,1.0,1.877,1.567
14,rrha_3,0.594,0.717,0.04,0.053,0.693,0.279,1.0,0.171,1.567
