mol,rmsd,hitmap,ID,Active
Fc1ccc(CNC(=O)c2c(O)c(O)nc(Cc3ccccc3)n2)cc1,0.74263376,29 39 31 33,Active_40,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)NC(C)=N2)cc1,0.62209612,22 29 30 32,Active_41,1
Fc1ccc(CNC(=O)C2=C(O)C(=O)N(C)C(C3N(C)CCOC3)=N2)cc1,0.56735522,33 42 43 45,Active_42,1
O=C(NCc1ccccc1)c1c(O)c(O)nc(-c2sccc2)n1,0.74262065,26 35 27 29,Active_43,1
Fc1ccc(CNC(=O)c2c(O)c(O)nc(C(N(C)C)(C)C)n2)cc1,0.61188066,31 38 37 35,Active_45,1
Fc1ccc(CNC(=O)c2c(O)c(O)nc(-c3sccc3)n2)cc1,0.56733471,27 31 28 30,Active_46,1
Fc1ccc(CNC(=O)c2c(O)c(O)ncn2)cc1,0.74262065,21 30 22 24,Active_47,1
S(=O)(=O)(N1CC(N(C)CC1)C=1N(C)C(=O)C(O)=C(C(=O)NCc2ccc(F)cc2)N=1)c1ccccc1,0.56735522,43 56 57 59,Active_48,1
Fc1c(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cccc3)ccc(F)c1,0.31092009,31 37 36 34,Active_49,1
Clc1c(F)c(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cccc3)ccc1,0.31092009,31 38 37 35,Active_50,1
Fc1c(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cccc3)c(F)ccc1,0.25971839,31 34 40 36,Active_51,1
O=C(O)/C(/O)=C/C(=O)C=1C(=O)c2c(N(Cc3cc(C)cc(C)c3)C=1)cccc2,0.31092009,35 44 43 41,Active_52,1
Clc1c(Cl)cc2C(=O)C(C(=O)/C=C(\O)/C(=O)O)=CN(Cc3ccc(F)cc3)c2c1,0.31092009,32 40 39 37,Active_53,1
Clc1c(F)ccc(CN2c3c(Cl)cccc3C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)c1,0.31092009,32 40 39 37,Active_54,1
Fc1c(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cccc3)cccc1,0.25971839,30 33 39 35,Active_55,1
O=C(O)/C(/O)=C/C(=O)C=1C(=O)c2c(N(Cc3c(OC)cccc3)C=1)cccc2,0.31092009,34 44 43 41,Active_56,1
Fc1cc(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cccc3)ccc1,0.25971171,30 33 39 35,Active_57,1
Fc1ccc(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)ccc(N2CCN(C(=O)C)CC2)c3)cc1,0.25983912,42 56 55 58,Active_58,1
Fc1ccc(CN2c3c(C(=O)C(C(=O)/C=C(\O)/C(=O)O)=C2)cc(C(=O)/C=C(\O)/C(=O)O)cc3)cc1,0.25981674,38 42 48 44,Active_59,1
O=C(O)/C(/O)=C/C(=O)C=1C(=O)c2c(N(Cc3ccccc3)C=1)cccc2,0.31090906,29 35 34 32,Active_60,1
