mol,rmsd,hitmap,ID,Active
FC=C(OCC)C=CC(=O)Nc1c(N)cc(NC(=O)C)c(C)c1,0.41962585,29 34 35 36,DEKOIS-7974,0
FC(C=NC1=C(C=CC(=O)N)C(=O)NC1=O)(C)c1ccccc1,0.44362989,26 28 29 30,DEKOIS-7975,0
FC=C(NC(=O)C(=C(O)CNC=C)CN1C(=O)C=CC=C1)C=C,0.41367459,24 32 33 34,DEKOIS-7978,0
Fc1cc(C(OC=2C(O)=NCC=2)CC2=CC(=O)NN=C2)ccc1,0.19004916,26 27 28 29,DEKOIS-7979,0
Fc1c(NC(=O)c2cc3c(OC(N=N)C3)cc2)cc(OC)cc1,0.66503119,24 30 28 31,DEKOIS-7981,0
FC(=CCO)C1=NC(=O)C(CC(=O)Nc2c(CN)cccc2)=C1,0.17862841,26 38 39 40,DEKOIS-7982,0
FC(=N)C(=C)CCNC(=O)c1cc2C(=O)NC(=O)CCc2cc1,0.15593038,24 28 29 30,DEKOIS-7983,0
Fc1cc(-c2nc(CC3(O)CC(=O)OC3)n(CCN)c2)ccc1,0.43738413,25 36 37 38,DEKOIS-7986,0
Fc1c(CCC)c(C)ccc1NC(=O)C(=O)NC=1N=CC(=O)C=1,0.39430398,28 36 35 37,DEKOIS-7987,0
FC1=C(C)NC2=C(C=CC(=O)OCC3CC3)NC(=O)C2=C1,0.31385976,22 29 30 31,DEKOIS-7990,0
Fc1cc(CCC(=O)N(CC(=O)N)CC=2C=COCC=2)cnc1,0.41962585,26 29 30 31,DEKOIS-7992,0
FC(=O)c1c(C=CC(=O)NCc2c(O)cccc2)ccc(N)n1,0.55554742,26 31 35 30,DEKOIS-7996,0
Fc1c(C=O)ccc(C(=O)NCCC(=O)NC2=CNCC=C2)c1,0.20888062,24 30 31 32,DEKOIS-7997,0
Fc1c(COC(=O)CCCc2c(C)[nH]nc2C(=O)N)cccc1,0.18195127,26 31 32 33,DEKOIS-7999,0
S(CC(=O)OC)c1nc(CC2c3c(OC2)c[nH]c3)c(C(=O)OCCN)cn1,0.46368852,32 35 36 37,DEKOIS-8001,0
S(CC(O)CN(C(=O)NC=1C(=O)NC=NC=1)C)c1cc(F)c(OCC=O)cc1,0.26528445,33 45 46 47,DEKOIS-8002,0
S(CC(=O)OC)c1[nH]c(C=CC(C(=O)NC2CC(F)CC2)=C(O)COC)nn1,0.46343318,34 42 43 44,DEKOIS-8003,0
S(=O)(=O)(NN=Cc1cocc1)CCNC(=O)C(C(F)=O)=CNc1ccccc1,0.50531095,31 37 36 38,DEKOIS-8004,0
FC(=C(C(=O)C(=O)NC=1C(=O)NC(C)=NC=1)C(=O)C)c1sc(NC(=O)C)cc1,0.26522234,33 48 49 50,DEKOIS-8006,0
S(Cc1nc(CC)oc1)C1=NC(COC(=O)C(NC)=CC(O)=CF)CC(=O)N1,0.13746984,32 42 43 44,DEKOIS-8008,0
S(CC(NC(=O)CN1C(=O)Nc2c(OC)ncc(F)c2C1=O)CC(O)C)CC,0.56800765,35 44 43 45,DEKOIS-8009,0
Fc1sc2c(n1)cc(C(=O)NC(C(=O)NCC(=O)OCC(C#N)CO)C)cc2,0.29074451,31 38 39 40,DEKOIS-8010,0
S(C(=NNC(=O)COC(=CC(F)Oc1cnccc1)C=CC)N=CO)CC=O,0.22903863,35 47 46 48,DEKOIS-8011,0
S(=O)(=O)(Nc1cc(CF)ccc1)C(C#N)=CC(=O)NCCOc1c(O)c[nH]c1,0.6345017,31 34 35 37,DEKOIS-8012,0
Fc1c(C(=O)OCC(=O)Nc2cscc2)[nH]cc1C(=O)NCC(=O)N(CC)C,0.41934174,33 35 36 37,DEKOIS-8013,0
Fc1c(OC)cc(C=C2C(=O)N(CC)C(=NNC(=O)C)S2)c(N(O)CCO)c1,0.41958985,34 46 47 48,DEKOIS-8014,0
Fc1c(OC(=O)c2sc(C(=O)NN=CCC)cc2)ccc(NC(=O)CON)c1,0.15108629,29 33 35 36,DEKOIS-8015,0
Fc1c(CC(=O)N2C(=CNCCO)N=C(C(OC)C)NC2=O)c(OC)sc1C,0.68008596,33 43 44 45,DEKOIS-8016,0
S(C(=O)N(CC=CC=CF)CC)CC(=O)OC(C(=O)NN1C(=O)N(C)C=C1)C,0.37780574,33 41 43 39,DEKOIS-8018,0
Fc1c(N2C(=CC(=O)NC)C=C(C(=O)NC(=O)CCC(=O)OC)C=N2)ccs1,0.22904658,33 44 45 46,DEKOIS-8019,0
S(CC(=O)NN(C(=O)C(C(O)=C(CC)C)=CO)C(=O)C)c1nc(F)cc(C)n1,0.40790984,37 44 51 52,DEKOIS-8020,0
FC(=O)c1sc(C(=O)N(C)C)c(NC(=O)NC(C(=O)N(C(C(O)=C)=C)C)C)c1,0.16207184,29 44 45 46,DEKOIS-8021,0
SCCC(Nc1nccc(C(=O)NNC(=O)OC(C)(C)C)c1)C(=O)OCCF,0.11873055,29 38 39 40,DEKOIS-8024,0
FC=1C=C(N(C(=O)CN(NC(=O)c2nc(CCC)sc2)C)CCO)C(=O)OC=1,0.81791645,30 45 47 49,DEKOIS-8025,0
[SH0](=O)(C(F)=NNC(=O)CCC)CCN1C(=O)C(=Cc2ncc(O)cc2)CC1=O,0.17879094,33 47 48 49,DEKOIS-8026,0
O=C(NC(CC(=O)OC)CC)Nc1cc(-c2oc(C(=O)N(C)C)cn2)sc1,0.28771606,32 42 43 44,DEKOIS-8028,0
FCOc1c(OC)cc(O)c(C=C2C(=O)N=C(N3C(C(=O)N)CCC3)S2)c1,0.17876582,31 40 41 42,DEKOIS-8029,0
FC=1SCC(ON(C(=O)NC2C(NC(=O)NCC(=O)OC)CCCC2)C)=CC=1,0.41964737,32 34 35 36,DEKOIS-8030,0
FC(OCC(=O)OC)c1nc(NC(=O)c2cn(C3CC(=O)NCC3)cc2)sc1,0.41952923,33 35 36 37,DEKOIS-8031,0
Fc1c(NC(=O)Cc2scc(CC(=O)NCC(=O)NC(=O)OC)n2)cccc1,0.38040289,32 35 40 37,DEKOIS-8032,0
Fc1c(OC)c(OCCN2C(=O)N(CC(=O)c3sc(N)nc3)C(=O)C2)ccc1,0.38399035,32 45 44 46,DEKOIS-8033,0
Fc1c(C)c(NC(=O)C(OC(=O)c2cc(C(=O)N=O)cnc2)C)cc(N)c1,0.14278932,29 43 40 41,DEKOIS-8035,0
S(CC(O)COC(=O)c1cc(OC)ccc1)c1c(N)ccc(C(=O)NNF)n1,0.2506789,29 34 35 36,DEKOIS-8037,0
FC(=O)Oc1cc(OC)cc(-c2sc(C(=O)N3CC(=CN)CCC3)nn2)c1,0.37807545,30 40 39 41,DEKOIS-8039,0
FCC(OC(=O)NCC=1C(=O)N(CC(O)CC)C(c2scnn2)=CC=1O)(C)C,0.83103269,35 38 39 49,DEKOIS-8040,0
S(CC(=O)N(CC=Cc1c(F)cc(OC(=O)COC=O)cc1)C)c1[nH]ncn1,0.30652517,32 38 37 39,DEKOIS-8041,0
S(CC(=O)OCC(F)Oc1ccccc1)C=1C(=O)N2C(=NC=1C)NC(=O)C2,0.39459372,32 41 42 43,DEKOIS-8042,0
FC(OCC)CCN1C(=O)C(C)OC=Cc2sc(C(=O)NC(C(=O)N)C1)cn2,0.27588812,32 37 38 39,DEKOIS-8043,0
Fc1sc(C=C(C(=O)N)CN(C(=O)NC)CCOCCO)cc1,0.15143655,28 37 38 39,DEKOIS-8044,0
FC(=CC=C1C(=O)N(CC(NC(=O)c2nc(O)[nH]c2)c2occc2)C(=O)S1)C,0.37126887,31 45 46 47,DEKOIS-8046,0
S(C)c1c(C=C(F)N)c(C(=O)N(C)C)cc([N+]2CC(C(=O)OC)OCC2)n1,0.53334033,30 36 42 38,DEKOIS-8047,0
S(C(C(=O)NCc1c(F)ccc(C(=O)OC)c1)C)C1=NC(=O)C(=CNCO)N1,0.25200063,29 35 36 37,DEKOIS-8048,0
S(F)(=O)(=O)CCC(=O)CN1C(=O)C(c2n(C)c3c(n2)cccc3)=C(C)NC1=O,0.75028831,31 34 38 39,DEKOIS-8049,0
S(=O)(=O)(N(CCO)C)c1cc(NC(=O)c2cc(F)cc(C(=O)C)c2)cnc1,0.20282836,28 33 37 35,DEKOIS-8050,0
Fc1c2OC(=C)C(=C)c2cc(NC(=O)C=2C(=O)OC=NC=2)c1,0.59364527,26 29 31 33,DEKOIS-8056,0
O=C(NC=1C(=O)NC2=C(C(=O)CC=C2)C=1)c1cocc1,0.3447336,21 27 28 29,DEKOIS-8057,0
FC(=COCCO)c1c(-c2ccc(C(=O)OC)cc2)n[nH]c1,0.20876151,23 28 29 30,DEKOIS-8058,0
Fc1cc(OC)c(O)c(-c2onc(-c3cnc(O)cc3)c2)c1,0.83282602,26 34 33 27,DEKOIS-8059,0
Fc1c(C#N)cc(CC(=O)OC)c2c1NC(=O)C=C2,0.25601426,21 28 29 30,DEKOIS-8060,0
FC(=O)C(=CCO)c1c(C=O)cn(-c2ccc(OC)cc2)n1,0.41882437,24 29 28 30,DEKOIS-8061,0
FCc1cc(N(C(=O)c2ccncc2)C=O)c(C(=O)O)cc1,0.87980515,24 27 36 33,DEKOIS-8065,0
Fc1cc2c(OC(=O)C(OC(=O)C=3C(=CN)CNC=3)=C2)cc1,0.3447336,24 30 31 32,DEKOIS-8066,0
Fc1cc2c(OCC(C(O)c3[nH]c(C(=O)OC)cn3)=C2)cc1,0.24395464,26 27 28 29,DEKOIS-8067,0
Fc1c(Oc2nccc(C(=O)N)c2)ccc(OC(=O)CC)c1,0.118718,24 29 30 31,DEKOIS-8069,0
Fc1c(OC)ccc(-c2nc(N)c(CO)c(C(=O)OC)c2)c1,0.7740289,23 33 28 30,DEKOIS-8070,0
Fc1cc2C(=O)N=C(c3c(OCC)c(OC)co3)Nc2cc1,0.35875839,23 29 30 31,DEKOIS-8071,0
Fc1occ(C(=O)N(CC(=O)Nc2c(OC)cccc2)C)c1,0.30703947,26 33 32 34,DEKOIS-8072,0
Fc1c(OC)c(NC(=O)C(=O)NCc2oc(C)cc2)ccc1,0.56776184,25 33 32 34,DEKOIS-8073,0
Fc1c(OCC(=O)NN=Cc2oc(C(O)=C)cc2)cccc1,0.41983196,26 30 31 32,DEKOIS-8074,0
Fc1cc(OC)cc(Oc2ccc(OCC(=O)N)cc2)c1,0.41964737,25 28 29 30,DEKOIS-8075,0
FC=CC(=O)c1ccc(NC(=O)OCc2oc(N)cc2)cc1,0.20357634,23 31 30 32,DEKOIS-8077,0
Fc1c(OC(C=O)=CC=C2C(=O)NNC(=O)C2)cccc1,0.26525536,24 32 33 34,DEKOIS-8081,0
Fc1c(OC)ccc(OC(=O)NNC(=O)c2ccccc2)c1,0.27847284,24 30 31 32,DEKOIS-8082,0
Fc1c(OC(=O)c2oc3c(n2)cc(C(=O)N)cc3)cccc1,0.14000614,23 25 26 27,DEKOIS-8085,0
Fc1c(OCC)c(Oc2cnccc2)c2C(=O)NC(=O)c2c1,0.28657651,23 31 32 33,DEKOIS-8089,0
Fc1c(OC(=O)c2c(OCC(=O)N)nccc2)cccc1,0.41962585,24 25 26 27,DEKOIS-8093,0
Fc1c(OCC(=O)NCC(O)c2c[nH]cc2)cc(OC)cc1,0.41962564,26 30 31 32,DEKOIS-8094,0
Fc1cc2OCC(C(=O)N(C)C=3C(=N)C=C(O)C=3)Oc2cc1,0.61789876,24 28 33 29,DEKOIS-8100,0
Fc1c(OCCC(=O)NC=2C(=O)NC(=O)C=CC=2)cccc1,0.27048358,24 30 31 32,DEKOIS-8103,0
Fc1c(C=CC2N3C(C(=O)N2)=CC(O)C#CC3)occ1OC,0.45582163,23 28 29 30,DEKOIS-8106,0
FC1C(=C)C=C(C(=O)OCC#CCNC(=O)NC(=C)C)CO1,0.24340354,23 31 32 33,DEKOIS-8108,0
Fc1c(C(=O)NC=2C(=O)NC=C(C)C=2)ccc(C(=O)OC)c1,0.2088946,23 27 28 29,DEKOIS-8112,0
FC(O)c1nc(C)c2c3c1COCC3=C(C=C(O)CN)OC2,0.89062673,28 38 37 35,DEKOIS-8115,0
FC=CCC(C(=O)OC)=CC=1C(=O)N=C(NC=CC(=O)C)C=1,0.36980078,25 39 36 37,DEKOIS-8117,0
FC1(c2c3NC(=O)Cc3ccc2)OCC=2C(=O)N(C)OC=2C1,0.33060649,23 28 29 30,DEKOIS-8118,0
Fc1c(NC(=O)C(=O)NCC2OCCC2)cc(OCC)cc1,0.56797409,26 32 31 33,DEKOIS-8119,0
FC(C(NC(=O)C(=O)Nc1c(C)cc(C(=O)OC)cc1)=C)=C,0.14887084,23 35 36 37,DEKOIS-8120,0
O=C1N(C)C(c2c3OCCOc3ccc2)NC(=CCC)O1,0.56796247,26 29 30 31,DEKOIS-8121,0
Fc1c(OC)cc(NC(=O)C(C#N)=Cc2occc2)cc1O,0.64384168,23 29 32 30,DEKOIS-8122,0
O=C(Nc1cc2OC(=O)COc2cc1)C[N+]C1CCCC1,0.41962576,25 29 30 31,DEKOIS-8123,0
Fc1c(OC)ccc(NC(=O)C(=O)N(Cc2occc2)C)c1,0.30656001,25 33 32 34,DEKOIS-8124,0
FC(=CC(C(=O)NC(=CC)C)=C1OC(C(=O)NC)COC1)C,0.54115587,30 37 38 39,DEKOIS-8127,0
Fc1c(NC)ccc(NC(=O)CCOC(=O)c2cocc2)c1,0.24414092,26 30 31 32,DEKOIS-8128,0
Fc1c(O)c(NC(=O)C(=O)N2CCCC2)cc2OCCCc12,0.30129984,25 34 33 35,DEKOIS-8130,0
Fc1cc2c(C(=O)OC)c(C(=O)N3CCOCC3)[nH]c2cc1,0.94974321,24 30 27 29,DEKOIS-8132,0
Fc1c(C(=O)NC=2C(=O)NC(OC)=C(C)C=2)ccc(OC)c1,0.32511958,24 33 34 35,DEKOIS-8133,0
FC(C(OCCC(=O)NNC(=O)C=Cc1occc1)=CC)=C,0.44075704,26 30 31 32,DEKOIS-8134,0
O=C(OC)c1cc2C(=O)NC(=O)Nc2cc1,0.10105454,17 19 26 21,DEKOIS-8135,0
O=C(OC)COC=1C2=NN(CCCC)C(=O)C=C2C=CC=1,0.41964737,25 30 31 32,DEKOIS-8136,0
FC=1c2c(NC(=O)CCOC#CCOC(=O)C=1)cccc2,0.30352807,25 30 31 32,DEKOIS-8138,0
Fc1cc(OC(=O)CC(=O)NN=CC(C=C)=C)cc(OC)c1,0.62788707,27 35 30 32,DEKOIS-8140,0
Fc1c(CC)ccc(OC(=O)N(C(=O)NCC#CCO)C)c1,0.64155787,25 29 31 32,DEKOIS-8141,0
Fc1c(C(=O)Nc2c(OCC=O)ccnc2)cc(OC)cc1,0.41962585,26 34 33 35,DEKOIS-8145,0
FOc1cc(O)c(C(=O)N(C(=O)N)Cc2ccccc2)cc1,0.64160454,25 31 26 28,DEKOIS-8146,0
FCOc1c(OC)cccc1CNC(=O)C1=CC(=O)NC=C1,0.118718,24 29 30 31,DEKOIS-8147,0
Fc1c(NC(=O)CCCOC(=O)c2cocc2)c(N)ccc1,0.24384385,25 29 30 31,DEKOIS-8149,0
Fc1cc(NC(=O)C2OCCOC2)c(OC)cc1,0.68122011,19 30 26 25,DEKOIS-8150,0
FC1=CC=CC=CC(=O)NCC(C(=O)OC=C)(CC)NC(=O)C1,0.48884633,27 33 34 35,DEKOIS-8152,0
FC(OC(CCC)C)Oc1cc2c(C(=O)NC(C(=O)N)=C2)cc1,0.28736663,24 32 33 34,DEKOIS-8154,0
FC1=C(CC)C(C(=NNC(=O)C2C(C)CCO2)C(=O)OC)=CC1,0.60783023,27 34 33 37,DEKOIS-8155,0
O=C(N1C(C(=O)NCCO)CCC1)c1oc2c(c1)ccnc2,0.94221568,26 28 35 36,DEKOIS-8156,0
Fc1c(OC=2C(=C)OC=CC=2)ccc(C=C2C(=O)NC(=O)N2)c1,0.41829145,27 31 32 33,DEKOIS-8157,0
FC(c1oc(C=Cc2[n+]c(CC)oc2)cc1)=C1C(=O)NC(=O)N1,0.71325493,27 29 28 30,DEKOIS-8158,0
FC(=O)c1c(C(=O)Oc2cc3NC(=O)Nc3cc2)cccc1,0.35179314,23 25 26 27,DEKOIS-8159,0
Fc1c(OCCC(=O)N2C(=CCO)C(=N)OCC2)cccc1,0.83135682,25 34 30 31,DEKOIS-8160,0
Fc1cc(OC)c(OCCCC(=O)NC=2C(=O)NC=CC=2)cc1,0.54196554,25 33 34 35,DEKOIS-8162,0
Fc1c(NC=2C(CO)=CC(=O)N=2)ccc(OC)c1,0.22026795,21 24 25 26,DEKOIS-8163,0
FC=1C(NC(=O)C(=O)Nc2c(OC)ccc(OC)c2)=CC[N+]C=1,0.66512591,24 31 28 32,DEKOIS-8165,0
FCOc1cc(OC)c(OCC(=O)NN=C2C=C(C)[N+]C2)cc1,0.41955405,28 34 35 36,DEKOIS-8166,0
FC1C(C=C)=C(NNC(=O)OC2CC[N+](CC(=O)O)CC2)C=C1,0.54636693,25 34 33 31,DEKOIS-8167,0
Fc1c(OCC2OCCC2)cc(C2=CC(N)=NC(=O)C2)cc1,0.33616966,23 30 27 28,DEKOIS-8168,0
Fc1c(OC)ccc2OC(C(=O)N3CC(C[N+])CC3)COc12,0.24184495,24 33 30 32,DEKOIS-8169,0
FC=CC(C(=O)OC)=C1C(N)=NC(=O)C1,0.49832124,18 24 25 22,DEKOIS-8171,0
Fc1c(Oc2cc(N)cnc2)cc(c(OC)c1)C1OC(=O)[N+]C1,0.44356149,27 30 31 32,DEKOIS-8173,0
Fc1c(C(=O)NC)cc(COC(=O)C=2C(=O)NC=CC=2C)cc1,0.518206,25 34 35 37,DEKOIS-8175,0
O=C(Nc1cc([N+](C)C)ccc1)C(=O)N1CCOCC1,0.41823852,25 30 29 31,DEKOIS-8179,0
Fc1c(CN2C(=O)COCC2(C)C)[n+]c(C=CC(=O)N)cc1,0.46371779,29 35 36 37,DEKOIS-8181,0
Fc1cc(OCCNC(=O)C=CC=2C(=O)NC=C(O)C=2)c[n+]c1,0.44527537,24 33 34 35,DEKOIS-8185,0
FCCOC(=O)CN(C(=O)c1[nH]c2c(c1)ccc(C(=O)[N+])c2)C,0.2444759,24 32 33 34,DEKOIS-8186,0
FCC=C(C(O)=C)N1C(=O)C=CC(C[N+]C(C(=O)OCC)C)=N1,0.51572317,29 35 34 36,DEKOIS-8187,0
Fc1c(C(=O)OC)cc(C(=O)Nc2c(OC)ccnc2)cc1,0.71659833,24 31 33 32,DEKOIS-8188,0
FCOc1c(NC(=O)CNC(=O)C(=O)[N+](C)C)cc(C#C)cc1,0.28290746,28 32 37 39,DEKOIS-8189,0
FC1[N+]C(CO)C=C(N=C)NC(=O)COC(=O)c2c1cccc2,0.40538079,27 35 36 37,DEKOIS-8190,0
Fc1cc(NC(=O)NCC2OCC(C)[N+]C2)cc(C(=O)OC)c1,0.2506789,24 29 30 31,DEKOIS-8193,0
Fc1c(OCC2=C[N+]C=C2)ccc(N2C(=O)C(=O)NC(=O)C2)c1,0.41962585,26 28 29 30,DEKOIS-8194,0
Fc1c(OC)cc2C(=O)NC(c3ncc(OC)cc3)[N+]c2c1,0.32345715,24 28 29 30,DEKOIS-8195,0
O=C(OC)C1=C(C)C(C=O)=C(CCNC=O)[N+]1,0.4819307,21 30 29 31,DEKOIS-8197,0
FC(=O)C(=CCO)N1C(=O)C(C)N(C(C[N+])c2occc2)CC1,0.86110765,26 33 30 31,DEKOIS-8198,0
Fc1c(OCC[N+]C2C(=O)N(C)C(=O)C(=CN)C2=O)cccc1,0.5209924,26 32 31 33,DEKOIS-8199,0
Fc1c(N2C(=O)CC(NC(=O)c3oc(C)[n+]c3)C2)ccc(O)c1,0.69214416,24 29 32 30,DEKOIS-8200,0
FC(C(=O)C(=O)Nc1c[nH]cc1)=Cc1cc2N(C)CCOc2cc1,0.46368852,29 32 31 33,DEKOIS-8201,0
O=C(NC12C(=O)NCC1(C)O2)Cn1c(-c2ccccc2)ccc1,0.40968922,27 30 29 31,DEKOIS-8203,0
Fc1c(CC(=O)N2CC(CNC(=O)c3occc3)CCC2)c[nH]c1,0.35710573,29 30 31 32,DEKOIS-8207,0
Fc1c(c(NC(=O)CCO)ccc1)C1=NC2=C(C(=O)N1)CCCC2,0.35891438,26 35 36 37,DEKOIS-8208,0
FC1C=C(NC(=O)COC(=O)c2ncc(C)c(C#CC#N)c2)C=C1,0.27037546,25 31 32 33,DEKOIS-8209,0
O(Cc1ccc(C)cc1)CC=1N=C(NCC2COC2)NC(=O)C=1,0.13752587,27 31 32 33,DEKOIS-8210,0
O=C1C(C=Cc2cocc2)=Cc2[nH]c(C3CCOCC3)nc2N1,0.28671217,24 27 28 29,DEKOIS-8213,0
Fc1cc(N(CCOc2cc3C(=O)NC(=O)Nc3cc2)C)ccc1,0.32346171,25 33 34 35,DEKOIS-8214,0
FC(=O)Nc1c(OCC)ccc(C(=O)NN=Cc2ccccc2)c1,0.7743113,25 35 28 34,DEKOIS-8215,0
FC(=CC(=O)OC)c1nc(Nc2c(NC)cccc2)c(C=O)cc1,0.46622935,26 35 34 36,DEKOIS-8218,0
FC(=O)C1C(C=C)=C(C)CNC(=O)CC=Cn2c(C(=O)N1)ccc2,0.16337524,32 33 34 35,DEKOIS-8221,0
O=C(NCC#C)C(=O)N1Cc2c(c(C)c(O)c(N(C)C)c2)CC1,0.26809591,24 35 34 36,DEKOIS-8222,0
FC(C(C)C)=C1C(CNC(=O)C=C(C)c2ccncc2)NC(=O)O1,0.40987393,32 37 36 38,DEKOIS-8223,0
Fc1c(Oc2cnccc2)ccc(C(=O)NCC(=O)NC2CC2)c1,0.20367475,25 32 33 34,DEKOIS-8225,0
Fc1c(OC=2C(=O)NC(C(=O)N(CCC(=C)C)C)NC=2)cccc1,0.26525536,30 34 35 36,DEKOIS-8231,0
Fc1c(C(=O)NCCO)ccc(C2C=C3N(C(=O)C2)C=CN=C3)c1,0.3868432,26 36 37 38,DEKOIS-8232,0
Fc1c(OC)cc(C=2N(c3ccc(CC=O)cc3)C(=O)NN=2)cc1,0.41973284,28 35 34 36,DEKOIS-8233,0
Fc1c(C#N)ccc(C=2C(=O)OCC#CC(C)=CCC(=O)NN=2)c1,0.26767588,27 30 31 32,DEKOIS-8237,0
Fc1ccc(Cc2c(C(=O)OCC3CC(=O)NCC3)c[nH]n2)cc1,0.47051415,25 30 31 32,DEKOIS-8243,0
Fc1cnc(C(=O)NCCC(=O)N2C(=CC)c3c(coc3)C2)cc1,0.37283015,26 32 35 34,DEKOIS-8244,0
FCCc1c(Nc2ncc(C=C(C(=O)OC)C=O)cc2)cc[n+]c1,0.54116666,28 30 31 32,DEKOIS-8245,0
FC=1c2c(ncc(NC(=O)c3cocc3)c2)NC(=O)C=1,0.23940495,22 28 29 30,DEKOIS-8246,0
FCCC(=NNC(=O)c1cc(OC)c(OC)cc1)c1ccncc1,0.13471396,25 34 32 33,DEKOIS-8247,0
Fc1cc2OC(C(=O)Nc3cc(C(=O)NC#N)ccc3)Cc2cc1,0.2506789,25 29 30 31,DEKOIS-8248,0
Fc1c2N(C)C(=O)C(NC(=O)CNC(=O)C=CC=C)(C)c2ccc1,0.24465221,29 37 38 39,DEKOIS-8250,0
Fc1nc(OC)c(C(=O)NNC(=O)c2[nH]c3c(cc(C)c(C)c3)c2)cc1,0.4378148,28 37 38 39,DEKOIS-8256,0
Fc1c(N(C)C)nc(CCOC=2C=3NC(=O)C=CC=3NC(=O)C=2)cc1C,0.25057894,29 38 39 40,DEKOIS-8257,0
Fc1c(c(NC(C(=O)NC(C(=O)O)=C)C2CC2)ccn1)-c1ccncc1,0.30734077,29 39 38 36,DEKOIS-8259,0
Fc1c(OC(=O)c2ncccc2)ccc(NC=2C(=O)N(CC)NC=2C)c1,0.43756154,30 36 35 37,DEKOIS-8261,0
FC1N=CC(C(=O)NC=2C(=O)Nc3c(CCNC(=O)C)cccc3C=2)=C1,0.34475428,28 39 40 41,DEKOIS-8262,0
FCOc1c(NC(=O)C(Nc2ncncc2)=CC=CC)cc(OC)cc1,0.66514045,27 36 38 37,DEKOIS-8263,0
Fc1c(-n2c(CNCC(=O)N3C(=C)C(=C)OCC3)ncc2)ccc(O)c1,0.67787015,29 39 37 40,DEKOIS-8266,0
Fc1c(OC2C(=O)NN=C(N)C2)ccc(-c2c(C)oc(C)c2)c1,0.25980163,27 31 29 33,DEKOIS-8267,0
FC(Oc1c(OC)cc(C2C(=O)N(N)C(=N)CC2)cc1)c1cnccc1,0.77257639,28 37 36 33,DEKOIS-8274,0
FCc1c(C(=O)NN)cc(C=Cc2occ(OCC(N=C)=CC)c2)cn1,0.66548824,32 40 38 36,DEKOIS-8275,0
FC=1C(=CC)C(NCC=2C(=O)N(NC(=O)OC)C(C)=CC=2C)=NC(C)=C=1,0.56797409,31 39 40 41,DEKOIS-8281,0
Fc1c(C=2N(CCC(=O)OCc3nccc(C)c3)C(=O)NN=2)cccc1,0.56355852,31 38 32 39,DEKOIS-8287,0
Fc1cc(C=NC=NN)c(Oc2c(OC(C(=O)N)C)cccc2)cc1,0.26664439,28 32 29 34,DEKOIS-8289,0
Fc1c(CN2C(=O)NC(=O)C(CC(=O)NCc3c[nH]cc3)=C2)cccc1,0.56796247,30 36 35 37,DEKOIS-8290,0
Fc1c(C=NNC(=O)C=NNC(=O)C=Cc2c(O)cccc2)cccc1,0.18802103,29 37 31 32,DEKOIS-8291,0
Fc1c2N=C(C(=O)NCC(=O)Nc3ccc(C)cc3)C(=O)Nc2ccc1,0.65736407,30 38 36 40,DEKOIS-8293,0
Fc1cc(C2C(=CC(=O)NC3=Nc4c(C(=O)N3)cc(O)nc4)C2)ccc1,0.23775634,28 37 38 39,DEKOIS-8296,0
Fc1c(C=NNC(=O)C(=O)c2nc3n(c2)C=CC(C)=C3)cc(C)cc1,0.24384385,29 35 36 37,DEKOIS-8300,0
S(CC#CCC)C1=NC(=O)C(C=2C(=NC(=O)OC)OC(C(O)C)=CC=2F)=CN1,0.64380753,29 43 42 47,DEKOIS-8302,0
SCC(=O)Nc1nc(C(=O)NC(=O)CCc2c(F)cc3OCOc3c2)ccc1,0.49226621,31 39 35 40,DEKOIS-8306,0
Fc1oc(C(=O)NC2C(=O)N(CCO)C(=O)C(C)(C)SC2)c(-c2c[nH]cc2)c1,0.75823849,31 43 46 41,DEKOIS-8307,0
FC=1S(=O)(=O)COC=1C=C(CC(C=C)CC1=Nc2ncccc2C(=O)N1)C,0.42559388,28 43 44 45,DEKOIS-8308,0
FC1(C)C(=O)NC(=O)C(OCCC(=O)N2Cc3sc4c(c3CC2)CNOC4)=C1,0.26833242,30 37 36 38,DEKOIS-8309,0
Fc1c(C(=O)N(CCNC)CC2OC(=O)SC2)cc2ncc3OCOc3c2c1,0.31189314,29 38 37 39,DEKOIS-8310,0
SC(=NC)C1(C)CC(=O)C2=C(NC(=O)C(C(=O)N3CC(F)(OC)OCC3)=C2)C1,0.57596123,30 42 47 49,DEKOIS-8311,0
FC1Sc2c(N1)cc(OCC(=O)c1cc(C(=O)OC)c(NCCO)nc1)cc2,0.31211221,29 41 38 40,DEKOIS-8313,0
O=C(Nc1c(C(=O)OC)nc(-c2cc(O)ccc2)s1)C(=O)N1CCCCC1,0.73423094,30 34 41 43,DEKOIS-8314,0
S(C(=NC)C(C(F)=O)=Cc1c2c([nH]c1)cccc2)C(C(=O)NC(=O)COO)C,0.38026753,34 38 42 39,DEKOIS-8315,0
Fc1c2OCC(=O)Nc3sc(C)c(CO)c3C(=O)NN=C(C)c2cc(OC)c1,0.6875897,33 38 41 40,DEKOIS-8316,0
Fc1c(C(=O)Nc2cc(N3S(=O)(=O)C(C)NC(=O)C3)ccc2)ccc(OC)c1,0.41962564,32 38 39 40,DEKOIS-8317,0
S(CC(=O)NC=O)c1c(OC(F)Oc2ccc(C(=O)NC#N)cc2)cccc1,0.2036884,29 33 34 35,DEKOIS-8318,0
